emp_no,first_name,last_name,birth_date,salary,hire_date
87461,Moni,Decaestecker,1952-02-01,67914,1989-05-31
237571,Ronghao,Schaad,1952-02-01,59355,1994-06-14
406121,Supot,Remmele,1952-02-01,76470,1989-01-27
91374,Eishiro,Kuzuoka,1952-02-01,42250,1999-07-08
207658,Kiyokazu,Whitcomb,1952-02-01,89770,1988-07-26
65308,Jouni,Pocchiola,1952-02-01,65562,1993-01-24
29456,Barun,Krohm,1952-02-02,72224,1998-03-01
250130,Shigeo,Mersereau,1952-02-02,72737,1991-03-09
64753,Shahid,Swan,1952-02-02,79207,1985-06-11
242509,Rosalyn,Hebden,1952-02-02,72155,1997-01-09
256423,Bodh,Baik,1952-02-02,71741,1993-12-27
244265,Pantung,Halevi,1952-02-02,53309,1993-11-12
68678,Rayond,Slutz,1952-02-02,50446,1990-09-30
239891,Percy,Tischendorf,1952-02-02,82951,1997-09-16
280643,Dmitry,Peroz,1952-02-02,94921,1987-01-12
204367,Mitsuyuki,Henders,1952-02-02,67154,1989-03-30
404902,Bader,Mapelli,1952-02-02,86288,1985-04-03
225105,Palash,Hempstead,1952-02-02,106998,1990-05-29
223433,Theirry,Schneeberger,1952-02-02,50778,1990-02-22
298735,Mamdouh,Gischer,1952-02-02,55323,1998-10-25
61382,Kristof,Ranft,1952-02-02,89080,1995-07-14
40660,Piyush,Erbe,1952-02-02,85075,1988-04-04
73959,True,Denny,1952-02-02,64596,1994-05-25
217446,Mayuri,Barriga,1952-02-02,40000,1996-06-26
51486,Jianwen,Sigstam,1952-02-02,63917,1989-07-20
284594,Sahrah,Rouquie,1952-02-02,74778,1993-05-26
94615,Toshimi,Bruckman,1952-02-02,69312,1989-04-29
264904,Sachin,Siksek,1952-02-02,64213,1990-03-31
79034,Janalee,Perri,1952-02-02,60621,1997-04-05
282473,Vidar,Eppinger,1952-02-02,61002,1993-05-16
101519,Marek,Macedo,1952-02-02,91002,1985-05-06
279510,Makato,Munck,1952-02-02,98375,1986-01-26
103295,Shigehito,Sommer,1952-02-02,80529,1992-03-15
22614,Dung,Madeira,1952-02-02,71911,1992-11-26
93928,Tomoyuki,Axelband,1952-02-02,111269,1995-09-24
405962,Moto,Staudhammer,1952-02-02,79540,1995-02-20
400460,Mircea,Wiegley,1952-02-02,103766,1985-07-18
59884,Fan,Przulj,1952-02-02,75608,1991-09-25
234728,Kolar,Chepyzhov,1952-02-02,69489,1992-01-24
79026,Armond,Frijda,1952-02-02,91609,1985-10-01
48910,Zhongwei,DuBourdieux,1952-02-02,44949,1999-12-19
222160,Mana,Salinas,1952-02-02,56610,1993-05-05
12282,Tadahiro,Delgrange,1952-02-02,43930,1999-10-06
107344,Kiyomitsu,Gelosh,1952-02-02,89917,1989-12-03
274355,Mara,Pfau,1952-02-02,51058,1993-11-24
204259,Xiaoqiu,Denis,1952-02-02,61723,1987-06-16
13944,Takahito,Maierhofer,1952-02-02,67660,1996-09-15
33131,Reinhold,Savasere,1952-02-02,47560,1998-01-30
203054,Hausi,Krohn,1952-02-02,67230,1995-09-17
294681,Maria,Fujisaki,1952-02-02,60405,1992-09-24
